model_loss,error,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Original_Loss,'precision',,,,,,,
Random_Forest_Dice_Loss,,0.9649122807017544,0.9852941176470589,0.9436619718309859,0.9640287769784173,0.9436619718309859,0.986013986013986,0.5210526315789473
Random_Forest_Focal_Loss,,0.9263157894736842,1.0,0.852112676056338,0.9201520912547528,0.852112676056338,1.0,0.6894736842105262
Random_Forest_Tversky_Loss,,0.9473684210526315,0.9205298013245033,0.9788732394366197,0.9488054607508533,0.9788732394366197,0.916083916083916,0.39473684210526316
Logistic_Regression_Original_Loss,'precision',,,,,,,
Logistic_Regression_Dice_Loss,,0.8105263157894737,0.8928571428571429,0.704225352112676,0.7874015748031497,0.704225352112676,0.916083916083916,0.5210526315789473
Logistic_Regression_Focal_Loss,,0.5228070175438596,1.0,0.04225352112676056,0.08108108108108109,0.04225352112676056,1.0,0.7736842105263158
Logistic_Regression_Tversky_Loss,,0.5964912280701754,0.5546558704453441,0.9647887323943662,0.7043701799485861,0.9647887323943662,0.23076923076923078,0.3526315789473684
Weighted_Logistic_Regression_Original_Loss,'precision',,,,,,,
Weighted_Logistic_Regression_Dice_Loss,,0.8105263157894737,0.8928571428571429,0.704225352112676,0.7874015748031497,0.704225352112676,0.916083916083916,0.5210526315789473
Weighted_Logistic_Regression_Focal_Loss,,0.5228070175438596,1.0,0.04225352112676056,0.08108108108108109,0.04225352112676056,1.0,0.7736842105263158
Weighted_Logistic_Regression_Tversky_Loss,,0.5964912280701754,0.5546558704453441,0.9647887323943662,0.7043701799485861,0.9647887323943662,0.23076923076923078,0.3526315789473684
