longitude,latitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation
75.33,34.17,0.0,0.6444444444444445,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.0,0.0,0.3515625,0.028112449799196786,0.021727172717271728,0.005117238218895593,1.0,0.0,1.0,0.0,1.0
76.17,32.97,0.371875,0.8444444444444444,0.15217391304347827,0.7557822322381686,0.3495575221238938,0.3112128146453089,0.7764705882352941,0.12835820895522387,0.34173669467787116,0.4,0.331002331002331,0.12964784576037772,0.048186247969680567,0.7666666666666667,0.03361344537815126,0.05386641129997606,0.8671875,0.2178714859437751,0.07288228822882288,0.21274726953333842,1.0,0.0,1.0,0.0,0.5821769297484822
74.65,34.5,0.259375,0.7333333333333333,0.043478260869565216,0.9468627683548808,0.3407079646017699,0.2151029748283753,0.9333333333333333,0.2626865671641791,0.226890756302521,0.3511111111111111,0.20512820512820512,0.08951406649616368,0.04223064428803465,0.8,0.04201680672268908,0.04716303567153459,0.734375,0.14156626506024098,0.04647964796479648,0.14263346826548537,0.8684210509804807,0.9333333333333333,1.0,0.75,0.5951864700780573
75.55,34.08,0.1125,0.6222222222222222,0.0,1.0,0.17699115044247787,0.07322654462242563,1.0,0.10746268656716418,0.09523809523809523,0.17777777777777778,0.0675990675990676,0.020263623844186503,0.010828370330265295,0.43333333333333335,0.025210084033613446,0.011252094804883888,0.421875,0.04216867469879518,0.03052805280528053,0.034675017184755214,1.0,0.0,1.0,0.0,0.7792714657415438
75.1,34.42,0.065625,0.6,0.0,0.9799255667080184,0.10619469026548672,0.04576659038901602,0.9847908745247148,0.0626865671641791,0.05322128851540616,0.10222222222222223,0.037296037296037296,0.016525673814676373,0.007038440714672442,0.43333333333333335,0.01680672268907563,0.009815657170217859,0.40625,0.04819277108433735,0.026402640264026403,0.024478729091881157,1.0,0.0,1.0,0.0,0.8939722463139635
75.33,34.5,0.1,0.6222222222222222,0.0,1.0,0.1902654867256637,0.057208237986270026,1.0,0.09253731343283582,0.0784313725490196,0.17777777777777778,0.05128205128205128,0.010820381664371435,0.007038440714672442,0.4,0.03361344537815126,0.009097438352884846,0.3828125,0.029116465863453816,0.026127612761276127,0.019972504391659665,1.0,0.0,1.0,0.0,0.8167823070251518
74.35,34.03,0.2,0.5555555555555556,0.08333333333333333,0.8049207217058502,0.18141592920353983,0.19221967963386727,0.7765567765567766,0.208955223880597,0.1876750700280112,0.22666666666666666,0.1794871794871795,0.1054495376746016,0.042772062804547914,0.8333333333333334,0.03361344537815126,0.04333253531242519,0.765625,0.21385542168674698,0.04922992299229923,0.24108302146184984,1.0,0.0,1.0,0.0,0.7421942758022549
74.38,34.05,0.3375,0.7333333333333333,0.14583333333333334,0.7643521049753964,0.36283185840707965,0.30205949656750575,0.7509157509157509,0.3522388059701492,0.3025210084033613,0.4,0.2913752913752914,0.13318906157780838,0.05089334055224689,0.9666666666666667,0.01680672268907563,0.05889394302130716,0.8984375,0.2319277108433735,0.059130913091309134,0.23417093103184908,1.0,0.0,1.0,0.0,0.5915004336513443
74.82,34.08,0.540625,1.0,0.3333333333333333,0.7763805358119191,0.7566371681415929,0.43707093821510296,0.8608058608058609,0.564179104477612,0.4425770308123249,0.7066666666666667,0.4428904428904429,0.06315168207751327,0.03519220357336221,0.8,0.05042016806722689,0.03782619104620541,0.7578125,0.07730923694779117,0.04372937293729373,0.06404185442602918,0.8684210509804807,0.9333333333333333,1.0,0.75,0.34496964440589767
77.0,33.0,0.0,0.6857142857142857,0.16666666666666666,0.7864406779661017,0.0,0.0,0.8937728937728938,0.26865671641791045,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.025210084033613446,0.0,0.28125,0.02208835341365462,0.015676567656765675,0.0,0.0,0.0,0.0,0.0,1.0
75.58,33.42,0.4782608695652174,0.6,0.1875,0.7562602515035538,0.5503875968992248,0.3799126637554585,0.7765567765567766,0.1761194029850746,0.4308093994778068,0.5954198473282443,0.3738532110091743,0.1598764240200811,0.06060606060606061,0.9666666666666667,0.01680672268907563,0.06991171558100692,1.0,0.18373493975903615,0.08415841584158416,0.23986233727367948,1.0,0.0,1.0,0.0,0.4547298543241748
75.3,34.3,0.35942028985507246,0.5571428571428572,0.08333333333333333,0.9627118644067797,0.5348837209302325,0.25327510917030566,0.9743589743589743,0.31044776119402984,0.30809399477806787,0.5305343511450382,0.22706422018348624,0.12222436763854026,0.049783549783549784,0.8666666666666667,0.07563025210084033,0.06418515867334765,0.8153846153846154,0.09839357429718876,0.061606160616061605,0.18636839742630554,1.0,0.0,1.0,0.0,0.4964042043149548
